"tool_final","Orthogroup","Ambrosia","Non_Ambrosia","NumberGenes"
"CAZyme","N0.HOG0000912",11,4.5,1
"CAZyme","N0.HOG0000918",2,3,25
"CAZyme","N0.HOG0000920",2,2,208
"CAZyme","N0.HOG0000922",0,3,53
"CAZyme","N0.HOG0000927",3,2,33
"CAZyme","N0.HOG0000928",2,2,208
"CAZyme","N0.HOG0000934",1,1,371
"CAZyme","N0.HOG0000935",1,1,371
"CAZyme","N0.HOG0000939",0,1,70
"CAZyme","N0.HOG0000942",2,0,327
"CAZyme","N0.HOG0000967",3,0,50
"CAZyme","N0.HOG0000970",1,0,85
"CAZyme","N0.HOG0000974",5,0,21
"CAZyme","N0.HOG0000975",0,5,22
"CAZyme","N0.HOG0000979",1,0,85
"CAZyme","N0.HOG0000983",3,2,33
"CAZyme","N0.HOG0001007",3,4,13
"CAZyme","N0.HOG0001011",0,1,70
"CAZyme","N0.HOG0001014",7,0,8
"CAZyme","N0.HOG0001017",3,10,1
"CAZyme","N0.HOG0001028",2,1,87
"CAZyme","N0.HOG0001034",3,3,32
"CAZyme","N0.HOG0001035",3,2,33
"CAZyme","N0.HOG0001040",2,2,208
"CAZyme","N0.HOG0001043",7,8,2
"CAZyme","N0.HOG0001045",3,2,33
"CAZyme","N0.HOG0001054",1,1,371
"CAZyme","N0.HOG0001055",1,1,371
"CAZyme","N0.HOG0001061",2,0,327
"CAZyme","N0.HOG0001063",0,5,22
"CAZyme","N0.HOG0001064",8,2.5,1
"CAZyme","N0.HOG0001067",0,6,12
"CAZyme","N0.HOG0001068",5,2.5,1
"CAZyme","N0.HOG0001070",0,7,10
"CAZyme","N0.HOG0001072",3,2,33
"CAZyme","N0.HOG0001075",3,3,32
"CAZyme","N0.HOG0001083",4,0,49
"CAZyme","N0.HOG0001084",6,0,10
"CAZyme","N0.HOG0001085",3,2,33
"CAZyme","N0.HOG0001093",9,0,8
"CAZyme","N0.HOG0001098",20,0,3
"CAZyme","N0.HOG0001102",2,2,208
"CAZyme","N0.HOG0001107",2,2,208
"CAZyme","N0.HOG0001110",2,3,25
"CAZyme","N0.HOG0001112",2,2,208
"CAZyme","N0.HOG0001114",0,4,43
"CAZyme","N0.HOG0001116",3,0,50
"CAZyme","N0.HOG0001117",3,6,1
"CAZyme","N0.HOG0001120",2,2,208
"CAZyme","N0.HOG0001122",0,5,22
"CAZyme","N0.HOG0001123",3,0,50
"CAZyme","N0.HOG0001124",6,3,3
"CAZyme","N0.HOG0001127",3,3,32
"CAZyme","N0.HOG0001132",2,1,87
"CAZyme","N0.HOG0001143",2,1,87
"CAZyme","N0.HOG0001146",2,3,25
"CAZyme","N0.HOG0001155",2,5.5,2
"CAZyme","N0.HOG0001158",2,3,25
"CAZyme","N0.HOG0001159",1,2,89
"CAZyme","N0.HOG0001160",0,5,22
"CAZyme","N0.HOG0001170",0,3,53
"CAZyme","N0.HOG0001172",2,2,208
"CAZyme","N0.HOG0001174",7,0,8
"CAZyme","N0.HOG0001176",1,0,85
"CAZyme","N0.HOG0001178",2,2,208
"CAZyme","N0.HOG0001179",2,2,208
"CAZyme","N0.HOG0001181",0,4,43
"CAZyme","N0.HOG0001187",1.5,0,20
"CAZyme","N0.HOG0001191",3,2,33
"CAZyme","N0.HOG0001201",1,2,89
"CAZyme","N0.HOG0001203",2,5.5,2
"CAZyme","N0.HOG0001204",2,2,208
"CAZyme","N0.HOG0001205",2,1.5,19
"CAZyme","N0.HOG0001218",0,3,53
"CAZyme","N0.HOG0001219",3,3,32
"CAZyme","N0.HOG0001220",0,1,70
"CAZyme","N0.HOG0001225",5,5,5
"CAZyme","N0.HOG0001227",0,2.5,10
"CAZyme","N0.HOG0001229",3,2,33
"CAZyme","N0.HOG0001230",2,0,327
"CAZyme","N0.HOG0001231",0,6,12
"CAZyme","N0.HOG0001232",2.5,5,1
"CAZyme","N0.HOG0001248",1.5,1,18
"CAZyme","N0.HOG0001249",5,0,21
"CAZyme","N0.HOG0001250",2,3,25
"CAZyme","N0.HOG0001251",2,1,87
"CAZyme","N0.HOG0001252",2,2,208
"CAZyme","N0.HOG0001253",2,2,208
"CAZyme","N0.HOG0001255",4,0,49
"CAZyme","N0.HOG0001258",1,1,371
"CAZyme","N0.HOG0001259",3,2,33
"CAZyme","N0.HOG0001264",2,2,208
"CAZyme","N0.HOG0001265",8.5,4,1
"CAZyme","N0.HOG0001266",4,0,49
"CAZyme","N0.HOG0001270",0,2,269
"CAZyme","N0.HOG0001274",0,2,269
"CAZyme","N0.HOG0001282",2,1,87
"CAZyme","N0.HOG0001286",4,3,5
"CAZyme","N0.HOG0001292",0,3,53
"CAZyme","N0.HOG0001293",12,0,3
"CAZyme","N0.HOG0001296",0,1,70
"CAZyme","N0.HOG0001298",3,8,2
"CAZyme","N0.HOG0001300",3,0,50
"CAZyme","N0.HOG0001301",0,2,269
"CAZyme","N0.HOG0001308",0,3,53
"CAZyme","N0.HOG0001310",0,2,269
"CAZyme","N0.HOG0001312",6,6,2
"CAZyme","N0.HOG0001313",0,7,10
"CAZyme","N0.HOG0001315",0,2,269
"CAZyme","N0.HOG0001316",3,3,32
"CAZyme","N0.HOG0001317",0,8,9
"CAZyme","N0.HOG0001327",2,0,327
"CAZyme","N0.HOG0001333",3,3,32
"CAZyme","N0.HOG0001334",2,2,208
"CAZyme","N0.HOG0001335",1,1,371
"CAZyme","N0.HOG0001340",6,7,3
"CAZyme","N0.HOG0001342",2,4,9
"CAZyme","N0.HOG0001359",2.5,2,3
"CAZyme","N0.HOG0001360",1.5,0,20
"CAZyme","N0.HOG0001371",3,4,13
"CAZyme","N0.HOG0001373",4,0,49
"CAZyme","N0.HOG0001374",0,3,53
"CAZyme","N0.HOG0001380",0,2,269
"CAZyme","N0.HOG0001383",0,3,53
"CAZyme","N0.HOG0001388",2,1,87
"CAZyme","N0.HOG0001390",0,3.5,8
"CAZyme","N0.HOG0001391",2,2,208
"CAZyme","N0.HOG0001395",4,0,49
"CAZyme","N0.HOG0001397",2,2,208
"CAZyme","N0.HOG0001400",3,3,32
"CAZyme","N0.HOG0001405",2,2,208
"CAZyme","N0.HOG0001406",1,2,89
"CAZyme","N0.HOG0001407",0,4,43
"CAZyme","N0.HOG0001408",2,0,327
"CAZyme","N0.HOG0001411",2,2,208
"CAZyme","N0.HOG0001418",4,5,3
"CAZyme","N0.HOG0001420",1.5,0,20
"CAZyme","N0.HOG0001424",2,2,208
"CAZyme","N0.HOG0001427",3,4,13
"CAZyme","N0.HOG0001428",2,2,208
"CAZyme","N0.HOG0001429",1,0,85
"CAZyme","N0.HOG0001432",2,0,327
"CAZyme","N0.HOG0001434",5,17,1
"CAZyme","N0.HOG0001435",4,0,49
"CAZyme","N0.HOG0001441",2,1.5,19
"CAZyme","N0.HOG0001442",2,2,208
